HISTORY,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory"
HISTORY,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today"
HISTORY,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea
HISTORY,Karl led the first of these Marxist organizational efforts; the second one began in 1889
HISTORY,"This Asian political party was founded in 1885 with ""Indian National"" as part of its name"
HISTORY,"After a 15-year stay in England, this proprietor of Pennsylvania returned to his colony in 1699"
HISTORY,This young man put his savings into a small Cleveland refinery in 1862 & eventually had an oil monopoly
HISTORY,First Lady Helen Taft led a fund-raising drive for a memorial to this 1912 marine disaster
HISTORY,This Chiricahua Apache was a popular attraction at the 1904 World's Fair in St. Louis
HISTORY,"In 1801 this onetime VP compiled ""A Manual of Parliamentary Practice"" still used in the U.S. Senate"
HISTORY,"He filed for divorce citing Leviticus 20:21, ""If a man shall take his brother's wife, it is an unclean thing"""
HISTORY,Historians refer to the Golden Age as the time during which Pericles ruled this city
HISTORY,"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands"
HISTORY,In February 1904 this country attacked the Russian fleet at Port Arthur
HISTORY,"On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war"
HISTORY,"In the midst of the Korean War, this South Korean president was elected to his second of 4 terms"
HISTORY,In 1991 this telephone company launched its Friends & Family promotion
HISTORY,"As of July 1, 1968 you could dial this 3-digit number in New York City & get the police"
HISTORY,"On Oct. 30, 1938 phone traffic peaked in cities all over America as people discussed this broadcast"
HISTORY,In 1980 Dial-It National Sports became the first service on this new area code
HISTORY,"In 1880 he invented the photophone, a device that sent messages through the air on beams of light"
HISTORY,"On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word"
HISTORY,It became a U.S. territory in 1900 & a state 59 years later
HISTORY,Susan B. Anthony was arrested in 1872 for doing this
HISTORY,In 1949 Henry H. Arnold became the first general of this branch of the armed forces
HISTORY,In April 1984 this U.S. government agency admitted its role in the mining of Nicaraguan harbors
HISTORY,John Hancock held this political position from 1780-85 & from 1787-93
HISTORY,In 1578 a Mongolian ruler first gave the leader of Tibet's Yellow Hat sect of Buddhism this title
HISTORY,"The Vikings founded this city in the mid-800s, probably naming it for a black pool in the river Liffey"
HISTORY,In 1868 he became the first person of Jewish ancestry to become prime minister of Great Britain
HISTORY,In 1793 this former mistress of Louis XV was guillotined for aiding those seeking to restore the monarchy
HISTORY,"This long-range radar ""line"" was established in 1957 to warn the U.S. & Canada of air attack from over the North Pole"
HISTORY,"As president of this country, Antonio Guzman Blanco had a new capital built in Caracas"
HISTORY,"The USA's second ""drug czar"", Bob Martinez had been governor of this state"
HISTORY,"To supply Coronado's party, Hernando de Alarcon sailed 3 ships up this river in 1540 to where Yuma, Ariz. is now"
HISTORY,"The dictator of Paraguay from 1816 to 1840 wasn't called just ""El Bueno"" but this superlative"
HISTORY,"Around 1829 this Mexican began calling himself the ""Napoleon of the West"""
HISTORY,In 1468 this teen was recognized as heiress to the throne of Castile
HISTORY,She was a teenage farm girl when she beat the famous marksman Frank Butler in an 1870s shooting match
HISTORY,In the 1850s this future sculptor failed the Ecole des Beaux-Arts entrance exam 3 times (think about it)
HISTORY,"Betrothed as a teen to her creepy cousin in 1744, she later became a ""Great"" empress of Russia"
HISTORY,"Apprenticed to a British shipowner as a teen in the 1740s, he became one of the great explorers of the Pacific"
HISTORY,In December 1974 this former New York governor was sworn in as Vice President
HISTORY,"In 1951 he told a joint session of congress that he ""tried to do his duty as god gave him the light to see that duty"""
HISTORY,This political party founded around 1789 stood for a strong central government
HISTORY,His foes said that in 1877 he agreed to withdraw remaining federal troops from the south in return for electoral support
HISTORY,"In 1917 the U.S. purchased the islands of St. Croix, St. John & St. Thomas from this country for $25 million"
HISTORY,"In 1791 this Treasury Secretary issued his ""Report On Manufactures"", a critique of American industry"
HISTORY,"When West Virginia became a state in 1863, Wheeling was its capital; this city became the permanent capital in 1885"
HISTORY,"In 1698, after an absence of 15 years, he returned to the colony named for his father"
HISTORY,"On Aug. 2, 1826 at Boston's Faneuil Hall, this great orator delivered a eulogy on Jefferson & Adams"
HISTORY,"Completed in 1856, California's first railroad ran 22 miles between Sacramento & this prison city"
HISTORY,"Between 1856 & 1860, 2,962 of this faith set out from Iowa & Nebraska to Utah in the Handcart Migration"
HISTORY,"On April 2, 1917 President Wilson told Congress, ""The world must be made safe for"" this"
HISTORY,"On April 20, 1971 the U.S. Supreme Court upheld this transportation method as a way to achieve school integration"
HISTORY,"John O'Sullivan, who later became a diplomat, coined this term for the USA's right to cover the continent"
HISTORY,In 1798 Congress passed this collection of bills to control domestic dissent & conspiracy against the federal govt.
HISTORY,"When ""60 Minutes"" premiered, this man was U.S. president"
HISTORY,"""The Quest for Camelot"" featured Pierce Brosnan as the voice of this Valiant Ruler"
HISTORY,"Kathy Bates played the real-life ""Unsinkable"" Molly Brown in this Leonardo DiCaprio adventure"
HISTORY,"""The Prince of Egypt"" featured Ralph Fiennes as the voice of this stubborn ruler"
HISTORY,"In ""Sahara"", set in this war, German soldiers attack Humphrey Bogart at a desert oasis"
HISTORY,In this famous film Scarlett O'Hara doesn't let the South losing the Civil War slow her down
HISTORY,"In a June 19, 1846 game, J.W. Davis of the N.Y. Nine was fined 6 cents for swearing at this person"
HISTORY,"To injure opposing players, Ty Cobb was said to sharpen these"
HISTORY,Topps' 1952 series No. 311 was this player's first card & is a holy grail among collectors
HISTORY,2 of the 5 cities that had both National League & American League teams in 1903
HISTORY,"During his 22-year career he walked a then-record 2,056 times"
HISTORY,"This Navy commander flew from a base at Little America to the South Pole & back Nov. 28-29, 1929"
HISTORY,"Accused of accepting bribes, Francis Bacon was imprisoned in this forbidding complex in 1621"
HISTORY,"More than 250,000 died in fighting before France granted this African nation independence July 3, 1962"
HISTORY,In 1784 she founded the city of Sevastopol in her new domain of the Crimea
HISTORY,"This Portuguese ""Admiral of the Indian Seas"" discovered & named the Amirante Islands"
HISTORY,They've been guarding British royalty since 1485 & gin bottles since 1820
HISTORY,"Founder of the nursing profession, she was named after the city in which she was born"
HISTORY,First Roman army to invade Britain was led by this general
HISTORY,"The penultimate Anglo-Saxon king, Edward was known by this pious title"
HISTORY,"Though it sounds like a grim volume, it's just William the Conqueror's survey of the British kingdom"
HISTORY,"In 1991 B.C. Amenemhet, a former vizier, founded this country's 12th dynasty"
HISTORY,"Because his proposals for constitutional change were defeated, this French president resigned in 1969"
HISTORY,In 1919 this national assembly met in this city & formed a new German republic
HISTORY,The parents of this Peruvian president immigrated from Japan 4 years prior to his birth
HISTORY,About 3000 B.S. the Sumerians invented this writing system which used triangular marks
HISTORY,"In 213 B.C., Ch'in Shih Huang-ti ordered all of these burned, except the ones in the imperial library"
HISTORY,This pupil of Socrates went to Sicily to try to turn Dionysius into a philosopher king
HISTORY,"Tikal became an important ceremonial center of this civilization, prior to 300 A.D."
HISTORY,He was only 16 when he became Roman emperor upon the death of Claudius
HISTORY,This Old Kingdom capital of Egypt was originally named Hikouptah
HISTORY,In the late '60s this character was created to show children it's okay to be grumpy
HISTORY,"This dominion was created by the British North America Act on July 1, 1867"
HISTORY,"On May 9, 1946 this country's King Victor Emmanuel abdicated in favor of his son Umberto"
HISTORY,"In 1763, as a result of this numerical war, Florida became a British possession"
HISTORY,"In 1864 Austria & Prussia went to war with Denmark, winning Schleswig & this duchy"
HISTORY,"In 1832 Otto, a Bavarian prince, was named the first king of this Balkan country"
HISTORY,"In 1429, she was given control of troops in France"
HISTORY,"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930"
HISTORY,In February 1984 he announced his resignation as Prime Minister of Canada
HISTORY,Every president since Taft has been an honorary president of this organization founded in the U.S. in Feb. 1910
HISTORY,"In a 1778 treaty, the U.S. and France granted each other this commerce ""status"""
HISTORY,"Peregrine White, the 1st child born in New England of English parents, was born on this ship"
HISTORY,Year in which Franklin Roosevelt was elected for an unprecedented 3rd term as president
HISTORY,"Before he was Canada's P.M., William Lyon Mackenzie King lived in this famous house with Jane Addams"
HISTORY,"In 1962, this country became a constitutional monarchy under King Hassan II"
HISTORY,The 1st prime minister of independent Kenya
HISTORY,"Born in 1672 & named for a saint, in 1703 he founded a city whose name represents both of them"
HISTORY,British commander Sir Edward Pakenham was killed in this battle fought 2 weeks after the War of 1812
HISTORY,"To reach eastern markets in the 1800s, Texas drovers brought their cattle to Kansas via this trail"
HISTORY,"On November 14, 1889, the New York World called her trip, ""The Longest Journey Known to Mankind"""
HISTORY,"On Mar. 27, 1964 this largest Alaska city was hit by an 8.4 earthquake"
HISTORY,In 1787 Arthur St. Clair became the first governor of this vast territory north of the Ohio River
HISTORY,City that was the seat of government of the viceroyalty of New Spain
HISTORY,Julius Caesar became the leader of this empire in 45 B.C. but was killed just one year later
HISTORY,Around 1200 B.C. this Biblical man led his people to Canaan after their escape from slavery
HISTORY,"In 1347, this ""bubonic"" disease began in Europe; as many as one-third of the population would perish"
HISTORY,"Over 5,000 years ago, this ancient people created Hieroglyphics, like the one seen <a href=""http://www.j-archive.com/media/2003-01-07_DJ_26.jpg"" target=""_blank"">here</a>"
HISTORY,"Around 336 B.C., this ""great"" king of Macedonia began building an empire from Africa to India"
HISTORY,"Melville said this abolitionist who was hanged in Charlestown, Va. in 1859 was ""the meteor of the war"""
HISTORY,Jackie Robinson broke baseball's color line in 1947 when he was signed by this team
